"frame: Ascending","Average scoreMe","Average target"
1,0,"0.005"
2,"0.0036631944444444446","0.005"
3,"0.0084375","0.005"
4,"0.006840277777777778","0.005"
5,"0.0052430555555555555","0.005"
6,"0.002447916666666667","0.005"
7,"0.0035590277777777777","0.005"
8,"0.003298611111111111","0.005"
9,"0.007916666666666667","0.005"
10,"0.006128472222222223","0.005"
11,"0.003298611111111111","0.005"
12,"0.0038541666666666668","0.005"
13,"0.004479166666666667","0.005"
14,"0.0069791666666666665","0.005"
15,"0.005225694444444444","0.005"
16,"0.004635416666666667","0.005"
17,"0.00515625","0.005"
18,"0.006197916666666667","0.005"
19,"0.0036979166666666666","0.005"
20,"0.005555555555555556","0.005"
21,"0.0027256944444444446","0.005"
22,"0.005486111111111111","0.005"
23,"0.006927083333333334","0.005"
24,"0.005121527777777778","0.005"
25,"0.004930555555555555","0.005"
26,"0.005138888888888889","0.005"
27,"0.003715277777777778","0.005"
28,"0.00515625","0.005"
29,"0.004427083333333333","0.005"
30,"0.0036805555555555554","0.005"
31,"0.006232638888888889","0.005"
32,"0.007152777777777778","0.005"
33,"0.004340277777777778","0.005"
34,"0.003993055555555555","0.005"
35,"0.006927083333333334","0.005"
36,"0.005885416666666666","0.005"
37,"0.0036979166666666666","0.005"
38,"0.0021354166666666665","0.005"
39,"0.0033854166666666668","0.005"
40,"0.004600694444444445","0.005"
41,"0.008506944444444444","0.005"
42,"0.0077777777777777776","0.005"
43,"0.005815972222222222","0.005"
44,"0.002638888888888889","0.005"
45,"0.0014409722222222222","0.005"
46,"0.002777777777777778","0.005"
47,"0.007951388888888888","0.005"
48,"0.004131944444444444","0.005"
49,"0.006284722222222222","0.005"
50,"0.004045138888888889","0.005"
51,"0.004756944444444445","0.005"
52,"0.005625","0.005"
53,"0.0046875","0.005"
54,"0.00625","0.005"
55,"0.004878472222222222","0.005"
56,"0.003159722222222222","0.005"
57,"0.003871527777777778","0.005"
58,"0.006371527777777778","0.005"
59,"0.005555555555555556","0.005"
60,"0.004079861111111111","0.005"
61,"0.0052430555555555555","0.005"
62,"0.005711805555555556","0.005"
63,"0.0065451388888888885","0.005"
64,"0.004600694444444445","0.005"
65,"0.006354166666666667","0.005"
66,"0.005086805555555555","0.005"
67,"0.005659722222222222","0.005"
68,"0.006423611111111111","0.005"
69,"0.005434027777777778","0.005"
70,"0.0046875","0.005"
71,"0.0026215277777777777","0.005"
72,"0.0033506944444444443","0.005"
73,"0.0022569444444444442","0.005"
74,"0.004479166666666667","0.005"
