"frame: Ascending","Average scoreMe","Average target"
1,0,"0.08"
2,0,"0.08"
3,0,"0.08"
4,0,"0.08"
5,0,"0.08"
6,"0.026753472222222224","0.08"
7,"0.025972222222222223","0.08"
8,"0.02748263888888889","0.08"
9,"0.026475694444444444","0.08"
10,"0.02763888888888889","0.08"
11,"0.052447916666666664","0.08"
12,"0.054774305555555555","0.08"
13,"0.05109375","0.08"
14,"0.05164930555555555","0.08"
15,"0.053940972222222223","0.08"
16,"0.06550347222222222","0.08"
17,"0.06822916666666666","0.08"
18,"0.06425347222222222","0.08"
19,"0.06104166666666667","0.08"
20,"0.06538194444444445","0.08"
21,"0.06586805555555555","0.08"
22,"0.0648611111111111","0.08"
23,"0.06319444444444444","0.08"
24,"0.06637152777777777","0.08"
25,"0.0634375","0.08"
26,"0.06680555555555556","0.08"
27,"0.0687673611111111","0.08"
28,"0.06934027777777778","0.08"
29,"0.06793402777777778","0.08"
30,"0.06607638888888889","0.08"
31,"0.06861111111111111","0.08"
32,"0.06710069444444444","0.08"
33,"0.06772569444444444","0.08"
34,"0.06722222222222222","0.08"
35,"0.06678819444444445","0.08"
36,"0.06951388888888889","0.08"
37,"0.06878472222222222","0.08"
38,"0.06947916666666666","0.08"
39,"0.06970486111111111","0.08"
40,"0.07149305555555556","0.08"
41,"0.0715625","0.08"
42,"0.07038194444444444","0.08"
43,"0.07090277777777777","0.08"
44,"0.07286458333333333","0.08"
45,"0.06635416666666667","0.08"
46,"0.06815972222222222","0.08"
47,"0.06975694444444444","0.08"
48,"0.06842013888888888","0.08"
49,"0.06911458333333333","0.08"
50,"0.06977430555555555","0.08"
51,"0.07090277777777777","0.08"
52,"0.07126736111111111","0.08"
53,"0.07059027777777778","0.08"
54,"0.06970486111111111","0.08"
55,"0.07125","0.08"
56,"0.07387152777777778","0.08"
57,"0.07086805555555556","0.08"
58,"0.07050347222222222","0.08"
59,"0.07086805555555556","0.08"
60,"0.0728125","0.08"
61,"0.07444444444444444","0.08"
62,"0.07487847222222223","0.08"
63,"0.0709375","0.08"
64,"0.07791666666666666","0.08"
65,"0.07463541666666666","0.08"
66,"0.07798611111111112","0.08"
67,"0.07831597222222222","0.08"
68,"0.08256944444444445","0.08"
69,"0.08194444444444444","0.08"
70,"0.08552083333333334","0.08"
71,"0.08574652777777778","0.08"
72,"0.08881944444444445","0.08"
73,"0.08934027777777778","0.08"
74,"0.08956597222222222","0.08"
75,"0.08822916666666666","0.08"
76,"0.08645833333333333","0.08"
77,"0.08920138888888889","0.08"
78,"0.09029513888888889","0.08"
79,"0.09239583333333333","0.08"
80,"0.08979166666666667","0.08"
81,"0.09112847222222223","0.08"
82,"0.090625","0.08"
83,"0.09190972222222223","0.08"
84,"0.0928298611111111","0.08"
85,"0.09276041666666666","0.08"
86,"0.0903125","0.08"
87,"0.09319444444444444","0.08"
88,"0.09121527777777778","0.08"
89,"0.08975694444444444","0.08"
90,"0.08956597222222222","0.08"
91,"0.08802083333333334","0.08"
92,"0.09253472222222223","0.08"
93,"0.08942708333333334","0.08"
94,"0.09763888888888889","0.08"
95,"0.09331597222222222","0.08"
96,"0.08675347222222222","0.08"
97,"0.08654513888888889","0.08"
98,"0.08119791666666666","0.08"
99,"0.08053819444444445","0.08"
100,"0.08121527777777778","0.08"
101,"0.07630208333333334","0.08"
102,"0.07508680555555555","0.08"
103,"0.07126736111111111","0.08"
104,"0.07442708333333334","0.08"
105,"0.06947916666666666","0.08"
106,"0.07225694444444444","0.08"
107,"0.07352430555555556","0.08"
108,"0.07151041666666667","0.08"
109,"0.07258680555555555","0.08"
110,"0.07277777777777777","0.08"
111,"0.07053819444444444","0.08"
112,"0.07369791666666667","0.08"
113,"0.0726736111111111","0.08"
114,"0.07684027777777777","0.08"
115,"0.07621527777777778","0.08"
116,"0.07682291666666667","0.08"
117,"0.07517361111111111","0.08"
118,"0.07298611111111111","0.08"
119,"0.0778298611111111","0.08"
120,"0.07305555555555555","0.08"
121,"0.07649305555555555","0.08"
122,"0.07871527777777777","0.08"
123,"0.071875","0.08"
124,"0.0739236111111111","0.08"
125,"0.07378472222222222","0.08"
126,"0.07640625","0.08"
127,"0.08163194444444444","0.08"
128,"0.0731076388888889","0.08"
129,"0.07692708333333333","0.08"
130,"0.07598958333333333","0.08"
131,"0.07944444444444444","0.08"
132,"0.08045138888888889","0.08"
133,"0.07529513888888889","0.08"
134,"0.08024305555555555","0.08"
135,"0.07940972222222223","0.08"
136,"0.07668402777777777","0.08"
137,"0.08017361111111111","0.08"
138,"0.07901041666666667","0.08"
139,"0.07689236111111111","0.08"
140,"0.07970486111111111","0.08"
141,"0.07925347222222222","0.08"
142,"0.0784201388888889","0.08"
143,"0.07538194444444445","0.08"
144,"0.08064236111111112","0.08"
145,"0.08432291666666666","0.08"
146,"0.08107638888888889","0.08"
147,"0.07753472222222223","0.08"
148,"0.08206597222222223","0.08"
149,"0.08288194444444444","0.08"
150,"0.07876736111111111","0.08"
151,"0.08135416666666667","0.08"
152,"0.08192708333333333","0.08"
153,"0.07907986111111111","0.08"
154,"0.08208333333333333","0.08"
155,"0.07805555555555556","0.08"
156,"0.08303819444444445","0.08"
157,"0.08399305555555556","0.08"
158,"0.08178819444444445","0.08"
159,"0.079375","0.08"
160,"0.08477430555555555","0.08"
161,"0.08243055555555556","0.08"
162,"0.08371527777777778","0.08"
163,"0.0772048611111111","0.08"
164,"0.08199652777777777","0.08"
165,"0.08177083333333333","0.08"
166,"0.07949652777777778","0.08"
167,"0.0875","0.08"
168,"0.08196180555555556","0.08"
169,"0.0835763888888889","0.08"
170,"0.08128472222222222","0.08"
171,"0.08697916666666666","0.08"
172,"0.08149305555555555","0.08"
173,"0.08241319444444445","0.08"
174,"0.08119791666666666","0.08"
175,"0.08619791666666667","0.08"
176,"0.08170138888888889","0.08"
177,"0.08590277777777777","0.08"
178,"0.08338541666666667","0.08"
179,"0.08038194444444445","0.08"
180,"0.08081597222222223","0.08"
181,"0.08119791666666666","0.08"
182,"0.08328125","0.08"
183,"0.08291666666666667","0.08"
184,"0.08222222222222222","0.08"
185,"0.08555555555555555","0.08"
186,"0.07859375","0.08"
187,"0.08005208333333333","0.08"
188,"0.07939236111111111","0.08"
189,"0.08427083333333334","0.08"
190,"0.08039930555555555","0.08"
191,"0.07519097222222222","0.08"
192,"0.07288194444444444","0.08"
193,"0.08470486111111111","0.08"
194,"0.07763888888888888","0.08"
195,"0.07857638888888889","0.08"
196,"0.0815625","0.08"
197,"0.08517361111111112","0.08"
198,"0.08572916666666666","0.08"
199,"0.08456597222222222","0.08"
200,"0.08675347222222222","0.08"
201,"0.08394097222222222","0.08"
202,"0.08444444444444445","0.08"
203,"0.08383680555555556","0.08"
204,"0.07836805555555555","0.08"
205,"0.08215277777777778","0.08"
206,"0.07767361111111111","0.08"
207,"0.07883680555555556","0.08"
208,"0.08013888888888888","0.08"
209,"0.07423611111111111","0.08"
210,"0.07442708333333334","0.08"
211,"0.07590277777777778","0.08"
212,"0.07505208333333334","0.08"
213,"0.07519097222222222","0.08"
214,"0.07565972222222223","0.08"
215,"0.07336805555555556","0.08"
216,"0.07269097222222222","0.08"
217,"0.07315972222222222","0.08"
218,"0.07097222222222223","0.08"
219,"0.07038194444444444","0.08"
220,"0.07300347222222223","0.08"
221,"0.07116319444444444","0.08"
222,"0.07194444444444445","0.08"
223,"0.07296875","0.08"
224,"0.07222222222222222","0.08"
225,"0.07345486111111112","0.08"
226,"0.06600694444444444","0.08"
227,"0.06763888888888889","0.08"
228,"0.06762152777777777","0.08"
229,"0.06215277777777778","0.08"
230,"0.06234375","0.08"
231,"0.05317708333333333","0.08"
232,"0.05515625","0.08"
233,"0.05361111111111111","0.08"
234,"0.05255208333333333","0.08"
235,"0.054288194444444444","0.08"
236,"0.06048611111111111","0.08"
237,"0.05845486111111111","0.08"
238,"0.05979166666666667","0.08"
239,"0.055121527777777776","0.08"
240,"0.058194444444444444","0.08"
241,"0.06479166666666666","0.08"
242,"0.062274305555555555","0.08"
243,"0.06366319444444445","0.08"
244,"0.06072916666666667","0.08"
245,"0.06866319444444445","0.08"
246,"0.07607638888888889","0.08"
247,"0.06914930555555555","0.08"
248,"0.0706076388888889","0.08"
249,"0.07319444444444445","0.08"
250,"0.06413194444444445","0.08"
251,"0.07048611111111111","0.08"
252,"0.06970486111111111","0.08"
253,"0.07239583333333334","0.08"
254,"0.07506944444444444","0.08"
255,"0.07508680555555555","0.08"
256,"0.06890625","0.08"
257,"0.07677083333333333","0.08"
258,"0.07428819444444444","0.08"
259,"0.07227430555555556","0.08"
260,"0.06802083333333334","0.08"
261,"0.07305555555555555","0.08"
262,"0.07741319444444444","0.08"
263,"0.07199652777777778","0.08"
264,"0.07402777777777778","0.08"
265,"0.06975694444444444","0.08"
266,"0.0751388888888889","0.08"
267,"0.07100694444444444","0.08"
268,"0.07883680555555556","0.08"
269,"0.08005208333333333","0.08"
270,"0.07659722222222222","0.08"
271,"0.07855902777777778","0.08"
272,"0.08279513888888888","0.08"
273,"0.08215277777777778","0.08"
274,"0.07751736111111111","0.08"
275,"0.07748263888888889","0.08"
276,"0.08369791666666666","0.08"
277,"0.08795138888888888","0.08"
278,"0.07902777777777778","0.08"
279,"0.08411458333333334","0.08"
280,"0.08105902777777778","0.08"
281,"0.08907986111111112","0.08"
282,"0.09092013888888889","0.08"
283,"0.07885416666666667","0.08"
284,"0.08444444444444445","0.08"
285,"0.09347222222222222","0.08"
286,"0.09555555555555556","0.08"
287,"0.09","0.08"
288,"0.09899305555555556","0.08"
289,"0.08506944444444445","0.08"
290,"0.10098958333333333","0.08"
291,"0.08887152777777778","0.08"
292,"0.09036458333333333","0.08"
293,"0.09482638888888889","0.08"
294,"0.09972222222222223","0.08"
295,"0.08965277777777778","0.08"
296,"0.08496527777777778","0.08"
297,"0.07850694444444445","0.08"
298,"0.08932291666666667","0.08"
299,"0.08947916666666667","0.08"
300,"0.08548611111111111","0.08"
301,"0.08039930555555555","0.08"
302,"0.08642361111111112","0.08"
303,"0.0913888888888889","0.08"
304,"0.09590277777777778","0.08"
305,"0.08168402777777778","0.08"
306,"0.08373263888888889","0.08"
307,"0.09401041666666667","0.08"
308,"0.11123263888888889","0.08"
309,"0.08717013888888889","0.08"
310,"0.08817708333333334","0.08"
311,"0.09447916666666667","0.08"
312,"0.09256944444444444","0.08"
313,"0.08904513888888889","0.08"
314,"0.08277777777777778","0.08"
315,"0.09623263888888889","0.08"
316,"0.09302083333333333","0.08"
317,"0.08993055555555556","0.08"
318,"0.09598958333333334","0.08"
319,"0.09015625","0.08"
320,"0.09081597222222222","0.08"
321,"0.08383680555555556","0.08"
322,"0.08553819444444444","0.08"
323,"0.09359375","0.08"
324,"0.08303819444444445","0.08"
325,"0.08993055555555556","0.08"
326,"0.07793402777777778","0.08"
327,"0.08605902777777778","0.08"
328,"0.08137152777777777","0.08"
329,"0.07862847222222222","0.08"
330,"0.08217013888888888","0.08"
331,"0.07979166666666666","0.08"
332,"0.07404513888888889","0.08"
333,"0.07670138888888889","0.08"
334,"0.07512152777777778","0.08"
335,"0.07034722222222223","0.08"
336,"0.07454861111111111","0.08"
337,"0.08145833333333333","0.08"
338,"0.07211805555555556","0.08"
339,"0.07482638888888889","0.08"
340,"0.07371527777777778","0.08"
341,"0.08053819444444445","0.08"
342,"0.12369791666666667","0.08"
343,"0.07574652777777778","0.08"
344,"0.07463541666666666","0.08"
345,"0.07934027777777777","0.08"
