"frame: Ascending","Average scoreMe","Average target"
1,0,"0.08"
2,"0.025746527777777778","0.08"
3,"0.049791666666666665","0.08"
4,"0.06288194444444445","0.08"
5,"0.06819444444444445","0.08"
6,"0.06680555555555556","0.08"
7,"0.06845486111111111","0.08"
8,"0.06979166666666667","0.08"
9,"0.07159722222222223","0.08"
10,"0.07164930555555556","0.08"
11,"0.07388888888888889","0.08"
12,"0.07211805555555556","0.08"
13,"0.07359375","0.08"
14,"0.07197916666666666","0.08"
15,"0.07222222222222222","0.08"
16,"0.07654513888888889","0.08"
17,"0.07493055555555556","0.08"
18,"0.07493055555555556","0.08"
19,"0.07357638888888889","0.08"
20,"0.07404513888888889","0.08"
21,"0.07253472222222222","0.08"
22,"0.07493055555555556","0.08"
23,"0.07194444444444445","0.08"
24,"0.07493055555555556","0.08"
25,"0.07260416666666666","0.08"
26,"0.07743055555555556","0.08"
27,"0.07671875","0.08"
28,"0.078125","0.08"
29,"0.07644097222222222","0.08"
30,"0.07583333333333334","0.08"
31,"0.07704861111111111","0.08"
32,"0.07682291666666667","0.08"
33,"0.07571180555555555","0.08"
34,"0.07689236111111111","0.08"
35,"0.07756944444444444","0.08"
36,"0.07970486111111111","0.08"
37,"0.07848958333333333","0.08"
38,"0.07890625","0.08"
39,"0.0809201388888889","0.08"
40,"0.07994791666666666","0.08"
41,"0.08","0.08"
42,"0.07807291666666667","0.08"
43,"0.08085069444444444","0.08"
44,"0.079375","0.08"
45,"0.07727430555555556","0.08"
46,"0.07786458333333333","0.08"
47,"0.07565972222222223","0.08"
48,"0.07673611111111112","0.08"
49,"0.07776041666666667","0.08"
50,"0.07857638888888889","0.08"
51,"0.07788194444444445","0.08"
52,"0.08","0.08"
53,"0.07996527777777777","0.08"
54,"0.07987847222222222","0.08"
55,"0.08069444444444444","0.08"
56,"0.0825","0.08"
57,"0.07951388888888888","0.08"
58,"0.07890625","0.08"
59,"0.07932291666666667","0.08"
60,"0.08081597222222223","0.08"
61,"0.08585069444444444","0.08"
62,"0.08204861111111111","0.08"
63,"0.08076388888888889","0.08"
64,"0.08130208333333333","0.08"
65,"0.08161458333333334","0.08"
66,"0.08317708333333333","0.08"
67,"0.08604166666666667","0.08"
68,"0.08527777777777777","0.08"
69,"0.08927083333333333","0.08"
70,"0.09069444444444444","0.08"
71,"0.08989583333333333","0.08"
72,"0.08807291666666667","0.08"
73,"0.0901388888888889","0.08"
74,"0.09420138888888889","0.08"
75,"0.09253472222222223","0.08"
76,"0.08986111111111111","0.08"
77,"0.09072916666666667","0.08"
78,"0.09340277777777778","0.08"
79,"0.0928298611111111","0.08"
